Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
10/03/2004;18.00.00;2,6;1360;150.0;11,9;1046;166.0;1056;113.0;1692;1268;13,6;48,9;0,7578
10/03/2004;19.00.00;2,0;1292;112.0;9,4;955;103.0;1174;92.0;1559;972;13,3;47,7;0,7255
10/03/2004;20.00.00;2,2;1402;88.0;9,0;939;131.0;1140;114.0;1555;1074;11,9;54,0;0,7502
10/03/2004;21.00.00;2,2;1376;80.0;9,2;948;172.0;1092;122.0;1584;1203;11,0;60,0;0,7867
10/03/2004;22.00.00;1,6;1272;51.0;6,5;836;131.0;1205;116.0;1490;1110;11,2;59,6;0,7888
10/03/2004;23.00.00;1,2;1197;38.0;4,7;750;89.0;1337;96.0;1393;949;11,2;59,2;0,7848
11/03/2004;00.00.00;1,2;1185;31.0;3,6;690;62.0;1462;77.0;1333;733;11,3;56,8;0,7603
11/03/2004;01.00.00;1,0;1136;31.0;3,3;672;62.0;1453;76.0;1333;730;10,7;60,0;0,7702
11/03/2004;02.00.00;0,9;1094;24.0;2,3;609;45.0;1579;60.0;1276;620;10,7;59,7;0,7648
11/03/2004;03.00.00;0,6;1010;19.0;1,7;561;;1705;;1235;501;10,3;60,2;0,7517
11/03/2004;04.00.00;;1011;14.0;1,3;527;21.0;1818;34.0;1197;445;10,1;60,5;0,7465
11/03/2004;05.00.00;0,7;1066;8.0;1,1;512;16.0;1918;28.0;1182;422;11,0;56,2;0,7366
11/03/2004;06.00.00;0,7;1052;16.0;1,6;553;34.0;1738;48.0;1221;472;10,5;58,1;0,7353
11/03/2004;07.00.00;1,1;1144;29.0;3,2;667;98.0;1490;82.0;1339;730;10,2;59,6;0,7417
11/03/2004;08.00.00;2,0;1333;64.0;8,0;900;174.0;1136;112.0;1517;1102;10,8;57,4;0,7408
11/03/2004;09.00.00;2,2;1351;87.0;9,5;960;129.0;1079;101.0;1583;1028;10,5;60,6;0,7691
11/03/2004;10.00.00;1,7;1233;77.0;6,3;827;112.0;1218;98.0;1446;860;10,8;58,4;0,7552
11/03/2004;11.00.00;1,5;1179;43.0;5,0;762;95.0;1328;92.0;1362;671;10,5;57,9;0,7352
11/03/2004;12.00.00;1,6;1236;61.0;5,2;774;104.0;1301;95.0;1401;664;9,5;66,8;0,7951
11/03/2004;13.00.00;1,9;1286;63.0;7,3;869;146.0;1162;112.0;1537;799;8,3;76,4;0,8393
11/03/2004;14.00.00;2,9;1371;164.0;11,5;1034;207.0;983;128.0;1730;1037;8,0;81,1;0,8736
11/03/2004;15.00.00;2,2;1310;79.0;8,8;933;184.0;1082;126.0;1647;946;8,3;79,8;0,8778
11/03/2004;16.00.00;2,2;1292;95.0;8,3;912;193.0;1103;131.0;1591;957;9,7;71,2;0,8569
11/03/2004;17.00.00;2,9;1383;150.0;11,2;1020;243.0;1008;135.0;1719;1104;9,8;67,6;0,8185
11/03/2004;18.00.00;4,8;1581;307.0;20,8;1319;281.0;799;151.0;2083;1409;10,3;64,2;0,8065
11/03/2004;19.00.00;6,9;1776;461.0;27,4;1488;383.0;702;172.0;2333;1704;9,7;69,3;0,8319
11/03/2004;20.00.00;6,1;1640;401.0;24,0;1404;351.0;743;165.0;2191;1654;9,6;67,8;0,8133
11/03/2004;21.00.00;3,9;1313;197.0;12,8;1076;240.0;957;136.0;1707;1285;9,1;64,0;0,7419
11/03/2004;22.00.00;1,5;965;61.0;4,7;749;94.0;1325;85.0;1333;821;8,2;63,4;0,6905
11/03/2004;23.00.00;1,0;913;26.0;2,6;629;47.0;1565;53.0;1252;552;8,2;60,8;0,6657
12/03/2004;00.00.00;1,7;1080;55.0;5,9;805;122.0;1254;97.0;1375;816;8,3;58,5;0,6438
12/03/2004;01.00.00;1,9;1044;53.0;;829;133.0;1247;110.0;1378;832;7,7;59,7;0,6308
12/03/2004;02.00.00;1,4;988;40.0;;718;82.0;1396;91.0;1304;692;7,1;61,8;0,6276
12/03/2004;03.00.00;0,8;889;21.0;;574;;1680;;1187;512;7,0;62,3;0,6261
12/03/2004;04.00.00;;831;10.0;;506;21.0;1893;32.0;1134;384;6,1;65,9;0,6248
12/03/2004;05.00.00;0,6;847;7.0;;501;30.0;1895;44.0;1155;394;6,3;65,0;0,6233
12/03/2004;06.00.00;0,8;927;17.0;1,8;571;56.0;1685;71.0;1223;487;6,8;62,9;0,6234
12/03/2004;07.00.00;1,4;1091;33.0;4,4;730;109.0;1387;104.0;1361;748;6,4;65,1;0,6316
12/03/2004;08.00.00;4,4;1587;202.0;17,9;1236;307.0;897;141.0;1900;1400;7,3;63,1;0,6499
